keyword_id,keyword_name,movie_id
008b26d1-da9d-4d02-9834-48a49c1681ff,thoughtful,1242898
00c6ec35-c255-4197-90a1-0d41ce663fd9,supernatural,1218925
00f9c885-de58-4f5c-a978-c0404da57e4a,"paris, france",1246049
022b5b63-163c-4b56-b7ba-360bc9bde1d7,thrill seeker,7451
02321a8a-106e-4946-8739-ae3a7086c01f,enchant,803796
023652f4-0961-4f72-ad1f-31f16506e628,secret agent,575265
029fcc9a-80f9-4480-97b7-0013fb99f284,riot,1054867
02d379b5-a273-40e7-b8c2-8b05d639867e,farcical,1242898
02d9512b-8a56-4c17-b02a-ec22179c8d79,hopeful,1116465
02fb4cd3-7010-45c9-b3fd-db40bad5c9fe,complex relationship,1327862
0364d399-eabf-4db2-b626-b9e42240ebcf,asylum,1377505
03fb6a13-ab31-4e28-a78e-c3df04b0384c,spirit,1038392
04c2bc26-edef-4b4f-adc0-22f9d831c40a,new york city,24428
04d6b7d7-a9ac-4435-9a16-6ea47069fa4f,team up,1242898
0518cc6e-cb7c-4129-a52a-c8f71a1e1470,urban,269149
0532cd3f-7e77-4482-9d9f-ed34d1929901,south pacific,1084222
0534cadb-c8d0-4343-bbb8-a7a67841ce38,duringcreditsstinger,617126
061875e4-3eaa-45be-b233-3f7f2ca2c512,anime,1218925
0660040f-c29e-4d0c-8a23-fb2ed2aba3aa,based on novel or book,402431
07800ebe-ca89-483f-bbd4-92bd10c5f907,injustice,269149
07c3eabd-1fde-404c-b113-70b6da0f276d,sock puppet,1237082
09094ce1-5a80-4490-baa8-bafe16ccf760,boy band,803796
09ab147e-791f-4d7b-8f81-a164f53a0a4d,based on comic,1061474
09c0279d-4c1f-4384-83c3-a0b3ca452174,"pennsylvania, usa",1038392
09cac2d0-7fd0-4836-bbd6-bed0d75bf7d1,loss of a parent,1196573
09e3885b-3cad-49ea-9482-6e9f3d81b5ab,super power,617126
0b53a330-8eda-4f54-b803-7a5e6dee92ca,immigration detention center,1054867
0b6441df-2225-444a-90c6-4be0ba835b1c,awestruck,1116465
0c4cedfc-9747-4260-82e5-39ac9d5fb5e0,christian camp,1197137
0d1a476b-9986-4664-8830-8dd57d577129,cartoon,269149
0e465443-e83f-4e1d-bac0-bbed0489ec68,animatronic,1228246
0e6b94d6-1332-40a9-8c2b-12d60f46a5fb,brother sister relationship,1197137
0ea836a9-b59b-4411-a768-94599a1ab101,based on novel or book,1327862
0eae34f2-6250-48f8-98d4-5f10ed1d5cea,computer program,533533
0f3e41a9-49cc-4c35-ab0e-d75c42531db1,cartoon bear,269149
0f8750a8-10bf-468f-b018-271e4d224c78,cartoon fox,269149
0f9e7efd-afdc-4eb7-976a-935c52307c91,k-pop,803796
109a2837-ac1d-46c2-aaed-95b1271c492e,black comedy,701387
1152a24b-cfed-4343-b2e2-183cf33e09b3,supernatural,1062722
11942aea-4a7e-4fe9-8d9a-e8f8df490c78,aftercreditsstinger,1054867
11b79415-c8c9-4aef-ac51-1cdbc94d3b73,polar bear,269149
129858c6-6d16-4711-b00d-24ccf9523eaf,fantasy world,967941
1298ddec-772d-4b4f-bf53-4812a0ada76d,mission,7451
131bc0ef-b67c-42bb-b247-b9688bfcace4,alien invasion,701387
1329651f-9ca9-4ed1-a275-4edafaeb4fa5,young girl,1196573
13a054a2-0485-43f1-a130-df25d39ca948,parfum,1246049
14c20182-0726-4c73-bd7d-524578d2ddba,horror,1197137
154d6fe5-249c-4fea-9b30-5c950625e268,simulation,533533
15b318d6-e422-4952-a650-bbd3c50b83ce,woman in wheelchair,967941
1632a751-b030-4321-b77a-4114854b2c68,based on comic,617126
16472258-98cd-4e92-981e-b5402a4c299b,south korea,803796
166b8d59-44af-4318-a1ee-52b202f094f0,prison gang,1196573
16bdbdab-08cf-4f8f-9e0b-f44e4d355952,illegitimate child,967941
16c741ff-73aa-4c00-8ca1-b9eefd44654d,duringcreditsstinger,803796
16f7b489-21ac-481b-b37e-9dfacd43c9d9,based on play or musical,967941
170294c4-b74c-4919-87e2-e852c9b99ce9,sentimental,1327862
1800e5bf-db58-4cb5-a5ea-33f08f55ae83,ecologism,701387
18521876-90df-4807-bd83-d514416b2419,wizard,402431
18bdb1fd-b82d-4039-8326-4bc709986535,fandom,803796
18eb4f8b-2e8e-42da-93d4-05bed56c4488,half demon,803796
190b594c-fc25-4f5d-b1b0-1dd79822f703,oz,967941
1925c057-c3b8-4073-9415-56cb9a6a3ce5,sexual tension,81467
195ecc3d-f40d-45ad-a114-a321987e5a4c,nuclear missile,575265
1ab1c442-41fe-49d7-8f09-7c5e0620ff4c,based on manga,1311031
1b4f916b-c624-4d8a-a3b6-88c5b16a9207,conspiracy,269149
1c16dc87-20c7-429a-ad82-492d3776925d,forceful,1196573
1c26a367-9c7c-418a-acf6-bb30db898f6f,nsa agent,7451
1c99423c-755c-48e4-88e9-acb8d3c8cbb3,loss of wife,1246049
1cbe1074-d1a1-40f8-ba88-f363692d397d,bullying,402431
1d2dad18-1b53-4c26-8175-ebed52f8c55d,haunted house,1038392
1eeb0556-26f6-456f-b8f1-5df1cb1f7426,farm girl,967941
1f666480-e136-4f46-8257-42ea977bc095,computer simulation,533533
1fa9fa43-3f88-46e0-8e73-0b3ee626c0f8,killer robot,1228246
20dbb3ed-375f-4b76-9181-c71b040ac576,musical comedy,402431
2103a47c-9359-4658-8bc4-e9f919eaeb61,sequel,967941
22c4c4d8-fea0-417d-a4af-f0e6e8d8d299,amused,1327862
237897c1-6a9a-4ea3-ac6e-077c05483c2e,high school romance,1327862
23bce1a6-9b14-429a-a344-f68808d55dbb,affectation,1419406
2414a059-6009-49ce-8f06-c65542029658,corrupt politician,402431
246ea210-ab6b-4c1f-81d8-c4e62cb620b7,witch,402431
246eb9da-e250-48ed-8639-b14b40b18f5a,admiring,1062722
24f3b46e-c9eb-4009-af7a-b534e62c91f8,romantic fantasy,402431
256013e1-8f2a-49b0-b596-2d3282da0812,anthropomorphism,269149
2601bf10-54d6-45d5-9760-21001ba92543,condescending,1242898
260cd243-b491-4bc4-b58c-67f494c3ea15,espionage,575265
267d8744-5e3a-4a82-9ab1-acf6a3ae57cc,brother sister relationship,1311031
26ab3802-6aa2-4153-a1ab-6714e8afb7c8,shounen,1539104
26ebf02b-a019-492f-80d8-d4962c8470c1,sequel,1180831
271f7bd9-79be-40d4-bea3-54add2b7734d,cartel,1433719
27fbcba5-a083-43cf-80e8-8b6cd0cdd71f,holy bible,1433719
28807e57-b87c-4567-9a27-ada70bc5693b,female protagonist,803796
288658f1-b137-4457-948e-72e3ffa34856,aggressive,1196573
28b61c05-7d54-4084-bdf4-9736a8ddfce3,grandfather grandson relationship,1327862
2939b9b4-15d0-486b-9640-716b91ac8c46,curious,1327862
29fb2369-e6c1-4394-9771-15c661497127,based on manga,1539104
2a245913-d014-4c17-9097-8a4e23700b9b,wedding,1038392
2b43f751-696d-4f48-9d4d-42b6bc85ebb3,hilarious,269149
2b53c82d-7ba1-48f0-91ba-edaceff4e6e4,artificial intelligence (a.i.),575265
2c54fe0d-d1b7-4920-90e0-15295051d930,horror,1038392
2c8f64c2-f30f-452f-bb48-3760046dfb5a,cartoon animal,269149
2c9af6fa-6393-4ceb-9cf5-c01a86267bbd,beheading,1246049
2de53d51-4cdd-49af-84f8-4a33efd684ca,double life,803796
2e0a6c00-c038-407e-ba12-44d147f7e59b,ostracism,402431
